FIPS,County,ST,Neighboring,UrbanPop-2010,RuralPop-2010,MedianHouseholdInc-2008-12,Elevation-ft,TotalArea-sqmi,LandArea-sqmi,WaterArea-sqmi
1001,Autauga,AL,0102101051011010108501047,31650,22921,53773,290,60439,59444,995
1003,Baldwin,AL,0102501053010970109912033,105205,77060,50706,155,202731,158978,43753
1005,Barbour,AL,0104501067010110110901113130611323913259,8844,18613,31889,220,90452,88488,1964
1007,Bibb,AL,011250107301021011170110501065,7252,15663,36824,224,62617,62258,359
1009,Blount,AL,010430109501055011150107301127,5760,51562,45192,870,65063,64478,585
1011,Bullock,AL,0110101087011130100501109,5307,5607,34500,455,62514,62280,234
1013,Butler,AL,011310108501041010390103501099,6026,14921,30752,445,77788,77683,105
1015,Calhoun,AL,0105501019010290112101115,78617,39955,40093,565,61229,60587,642
1017,Chambers,AL,010810112301111131491328513145,17399,16816,32181,745,60311,59653,658
1019,Cherokee,AL,0104901055010150102913115130551323313295,3707,22282,36241,589,59998,55370,4628
1021,Chilton,AL,01007011170103701051010010104701105,5785,37858,40834,580,70080,69285,795
1023,Choctaw,AL,01119010910102501129281532802328075,0,13859,35123,350,92086,91350,736
1025,Clarke,AL,01023010910113101099010030109701129,6205,19628,30954,405,125257,123846,1411
1027,Clay,AL,0112101029011110112301037,0,13932,34556,745,60600,60396,204
1029,Cleburne,AL,0111101027011210101501019132331314313045,0,14972,37244,1175,56101,56010,91
1031,Coffee,AL,0104101109010450106101039,26375,23573,44626,195,68049,67897,152
1033,Colbert,AL,01077010790105928141,30537,23891,40158,536,62213,59262,2951
1035,Conecuh,AL,01099010130103901053,2520,10708,27064,216,85272,85016,257
1037,Coosa,AL,011170112101027011230105101021,0,11539,37425,660,66635,65093,1542
1039,Covington,AL,0105301035010130104101031010611213112091,11461,26304,35321,260,104379,103046,1333
1041,Crenshaw,AL,010130108501101011090103101039,0,13906,37309,594,61092,60884,208
1043,Cullman,AL,010090107901095011030113301127,21517,58889,39244,802,75502,73484,2018
1045,Dale,AL,010310106701109010050106901061,24679,25572,45247,470,56270,56115,155
1047,Dallas,AL,011050102101001010850113101091,23821,19999,26178,147,99380,97869,1511
1049,DeKalb,AL,0107101095010550101913083,7018,64091,36853,1040,77869,77709,159
1051,Elmore,AL,010010102101037011230108701101,36330,42973,55514,290,65704,61848,3856
1053,Escambia,AL,01099010350103901003120331211312091,13982,24337,31075,85,95314,94508,806
1055,Etowah,AL,010090109501049010190101501115,65286,39144,37660,565,54863,53499,1364
1057,Fayette,AL,0107501093011270112501107,3408,13833,33090,365,62936,62766,170
1059,Franklin,AL,010330107901133010932805728141,9395,22309,37235,840,64652,63382,1270
1061,Geneva,AL,01039010310104501069120631205912131,2775,24015,33618,107,57895,57441,454
1063,Greene,AL,0110701125010650109101119,0,9045,23777,110,65994,64711,1283
1065,Hale,AL,0106301125010070110501091,1707,14053,29409,220,65650,64394,1256
